Name,Display Name,Description,Type,Weapon Type,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Display Price,Weapon Level,WEXP,Icon
Divinestone,Divinestone,"Selene only. Gives +9 Str, 5 Mag, 7 Skl, 5 Spd, 7 Luck, 16 Def, 11 Res, Magical at range, Inflicts -3 Def, Effective vs monsters +Guardian/Manakete. [Rightful God]",Weapon,Stone,255,16,90,10,15, 1-2,0,No,NoRank,0,https://i.ibb.co/brBsxrc/row-11-column-12.png
Ascalon,Ascalon,"Gives +2 Str, 2 Mag, 2 Skl, 2 Spd, 2 Luck, 5 Def, 5 Res, Magical at range, Inflicts -2 Str/Mag/Spd/Def/Res, Effective vs monsters +Guardian/Manakete. [Aether]",Weapon,Sword,50,15,90,10,10, 1-2,0,No,S,1,https://i.ibb.co/6vc9F5g/row-13-column-11.png
Keening,Keening,"Gives +10 Mag, 4 Skl, 4 Spd, Inflicts -1 Str/Skl/Spd, Effective vs machines. [Lifetaker]",Weapon,Sword,60,16,90,6,15,1,0,No,S,1,https://i.ibb.co/92kcndY/row-1-column-12.png
BitterMercy,Bitter Mercy,"Gives +10 Skl, 8 Res, Effective vs machines. [Aegis] ",Weapon,Lance,60,18,75,9,15,1,0,No,S,1,https://i.ibb.co/SPfCbRY/row-2-column-12.png
Pugi,Pugi,None,Weapon,Axe,60,10,80,9,30, 1-2,0,No,S,1,https://i.ibb.co/nQpPz0p/row-13-column-9.png
Sunder,Sunder,"Gives +10 Str, 4 Luck, 4 Def, Inflicts -1 Str/Skl/Spd, Effective vs machines. [Lifetaker]",Weapon,Axe,60,20,60,12,15,1,0,No,S,1,https://i.ibb.co/X5dffXH/row-3-column-12.png
Griseous,Griseous,"Gives +4 Luck, 4 Def, 4 Res, Effective vs monsters, dragons, and fliers. [Horrifying]",Weapon,Bow,50,20,77,10,23,2,0,No,S,1,https://i.ibb.co/2qvQFXw/row-4-column-12.png
Cryolator,Cryolator,Ignore 80% Res,Weapon,Gun,50,30,70,13,10, 1-3,76,No,NoRank,0,https://i.ibb.co/N23pDbw/row-9-column-12.png
Excalipoor,Excalipoor,Always deals 1 damage. [Hawkeye],Weapon,Anima,33,1,100,3,30, 1-3,303,Yes,B,1,https://i.ibb.co/dWmM52k/row-6-column-11.png
TenRings,Shí Huán,"Gives +5 Skl, 3 Spd, 3 Luck, 2 Def, 2 Res. Inflicts -2 Str/Skl/Spd, -1 Mag/Luck/Def/Res. Effective vs knights. [Astra]",Weapon,Anima,50,15,70,10,10, 1-2,0,No,S,1,https://i.ibb.co/qyvY38F/row-6-column-12.png
Vishanti,Vishanti,"Gives +10 Skl, 5 Spd, Inflicts -4 Def, Effective vs monsters +Guardian. [Sol]",Weapon,Light,50,13,80,9,15, 1-2,0,No,S,1,https://i.ibb.co/r0WmJTr/row-7-column-12.png
Darkhold,Darkhold,"Gives +10 Skl, 5 Def, Inflicts -4 Res, Effective vs axe infantry. [Luna]",Weapon,Dark,50,17,60,11,5, 1-2,0,No,S,1,https://i.ibb.co/3y2M4Lm/row-8-column-12.png
Hammerne,Hammerne,Repairs an item back to full condition.,Staff,Staff,12,0,100,0,0,1,750,No,B,1,https://i.ibb.co/pRqS8PV/row-12-column-7.png
Centrifuge,Centrifuge,Heals everyone to full HP and restores all status.,Staff,Staff,6,128,100,0,0,255,0,No,S,1,https://i.ibb.co/9YwSbPz/row-5-column-12.png
Warp,Warp,Teleports a nearby ally far away.,Staff,Staff,7,0,100,0,0,1,0,No,S,7,https://i.ibb.co/phQL7Vt/row-4-column-9.png
Rescue,Rescue,Teleports a far away ally nearby.,Staff,Staff,7,0,100,0,0,Mag/2,0,No,S,7,https://i.ibb.co/5Fm0bSr/row-4-column-10.png
Wraithguard,Wraithguard,"Gives +3 Def, 3 Res when held, doubled when equipped, Effective vs machines. [Renewal]",Weapon,Power,40,18,80,0,10,1,0,No,NoRank,0,https://i.ibb.co/NyGfKDW/row-7-column-11.png
Bread,Bread,Heals 10 HP.,Item,,5,0,0,0,0,1,60,Yes,NoRank,0,https://i.ibb.co/8d5Bv9w/row-16-column-1.png
Nuggets,Nuggets,Heals 12 HP.,Item,,6,0,0,0,0,1,75,Yes,NoRank,0,https://i.ibb.co/fn6QtGk/row-16-column-2.png
IceCream,Ice Cream,Heals 15 HP.,Item,,3,0,0,0,0,1,180,Yes,NoRank,0,https://i.ibb.co/HHNHF5C/row-16-column-3.png
Milk,Milk,Heals 20 HP.,Item,,4,0,0,0,0,1,200,Yes,NoRank,0,https://i.ibb.co/CzFsvXX/row-16-column-4.png
SweetRoll,Sweet Roll,Heals 25 HP.,Item,,4,0,0,0,0,1,250,Yes,NoRank,0,https://i.ibb.co/4KxrpxW/row-16-column-5.png
ChocolateMilk,Chocolate Milk,Heals 30 HP.,Item,,4,0,0,0,0,1,300,Yes,NoRank,0,https://i.ibb.co/Px3P6Kg/row-16-column-6.png
BurgerMeal,Burger Meal,Heals 40 HP.,Item,,3,0,0,0,0,1,600,Yes,NoRank,0,https://i.ibb.co/sm06qsf/row-16-column-7.png
WallPoultry,Wall Poultry,Heals 50 HP.,Item,,2,0,0,0,0,1,1250,Yes,NoRank,0,https://i.ibb.co/thj3GKb/row-16-column-8.png
Milkshake,Milkshake,Heals all HP.,Item,,3,0,0,0,0,1,1000,Yes,NoRank,0,https://i.ibb.co/sHGh1h4/row-16-column-9.png
Cake,Cake,"Grants +7 Res when used, which decays each turn.",Item,,7,0,0,0,0,1,100,Yes,NoRank,0,https://i.ibb.co/n7Jdd0B/row-16-column-10.png
DoorKey,Door Key,Opens doors.,Item,,1,0,0,0,0,1,50,Yes,NoRank,0,https://i.ibb.co/BjrzSnq/row-17-column-2.png
ChestKey,Chest Key,Opens chests.,Item,,1,0,0,0,0,1,500,Yes,NoRank,0,https://i.ibb.co/ZcjPfHJ/row-17-column-1.png
Lockpick,Lockpick,Opens doors and chests.,Item,,30,0,0,0,0,1,100,Yes,NoRank,0,https://i.ibb.co/vmp6YNJ/row-17-column-3.png
PotatoMine,Potato Mine,Sets a trap on an adjacent tile that will explode for 18 damage when stepped on.,Item,,1,0,0,0,0,1,900,Yes,NoRank,0,https://i.ibb.co/xLwGH9Y/row-16-column-11.png
Plantern,Plantern,"Grants increased fog vision to unit, which decays each turn.",Item,,5,0,0,0,0,1,50,Yes,NoRank,0,https://i.ibb.co/wNTv84p/row-16-column-12.png
Diploma,Diploma,Can be used to promote units Lv. 10 and up.,Item,,1,0,0,0,0,1,2500,Yes,NoRank,0,https://i.ibb.co/QMrbQtM/row-17-column-9.png
HeartCrystal,Heart Crystal,Gives +4 HP when used.,Item,,1,0,0,0,0,1,4000,Yes,NoRank,0,https://i.ibb.co/rmFZtWY/row-14-column-1.png
PowerBeans,Power Beans,Gives +2 Strength when used.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/ZGP0Dmy/row-14-column-2.png
CharmofBezel,Charm of Bezel,Gives +2 Magic when used. Cannot be used in preps.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/xM2nJbs/row-14-column-6.png
Fanfics,Fanfics,Gives +2 Skill when used.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/Bgx5TXF/row-14-column-3.png
Cheese,Cheese,Gives +2 Speed when used.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/9Z8pGVQ/row-14-column-4.png
Icosahedron,Icosahedron,Gives +4 Luck when used.,Item,,1,0,0,0,0,1,4000,Yes,NoRank,0,https://i.ibb.co/D5jYpmv/row-14-column-5.png
Wall-Nut,Wall-Nut,Gives +2 Defense when used.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/7K9t70R/row-14-column-7.png
ChocolateBar,Chocolate Bar,Gives +2 Resistance when used.,Item,,1,0,0,0,0,1,6000,Yes,NoRank,0,https://i.ibb.co/JcNbXdv/row-14-column-8.png
Minecart,Minecart,Gives +2 Movement when used.,Item,,1,0,0,0,0,1,10000,Yes,NoRank,0,https://i.ibb.co/jvDTDFH/row-14-column-10.png
Sandvich,Sandvich,Gives +2 Constitution when used.,Item,,1,0,0,0,0,1,10000,Yes,NoRank,0,https://i.ibb.co/jzH1hxM/row-14-column-9.png
SuperSerum,Super Serum,Gives +5% to all growths when used.,Item,,1,0,0,0,0,1,17760,Yes,NoRank,0,https://i.ibb.co/D7FXYfp/row-14-column-11.png
GoldIngot,Gold Ingot,Sells for 1000 silver.,Item,,1,0,0,0,0,1,2000,Yes,NoRank,0,https://i.ibb.co/KcPtVHn/row-17-column-4.png
Ruby,Ruby,Sells for 4000 silver.,Item,,1,0,0,0,0,1,8000,Yes,NoRank,0,https://i.ibb.co/LkNTFGc/row-17-column-5.png
Emerald,Emerald,Sells for 9000 silver.,Item,,1,0,0,0,0,1,18000,Yes,NoRank,0,https://i.ibb.co/FYMrc45/row-17-column-6.png
Diamond,Diamond,Sells for 16000 silver.,Item,,1,0,0,0,0,1,32000,Yes,NoRank,0,https://i.ibb.co/bJgdRXY/row-17-column-7.png
Platinum,Platinum,Sells for 25000 silver.,Item,,1,0,0,0,0,1,50000,Yes,NoRank,0,https://i.ibb.co/2yKrtMN/row-17-column-8.png
DeltaShield,Delta Shield,Negates flier weaknesses when held.,Item,,255,0,0,0,0,1,10000,Yes,NoRank,0,https://i.ibb.co/wQZNpRV/row-17-column-10.png
SmogonSeal,Smogon Seal,Negates enemy criticals when held.,Item,,255,0,0,0,0,1,10000,Yes,NoRank,0,https://i.ibb.co/61wB2wD/row-17-column-11.png
OroCard,Oro Card,Grants access to secret shops when held.,Item,,255,0,0,0,0,1,9000,No,NoRank,0,https://i.ibb.co/Df3MC3S/row-15-column-11.png
MetroCard,Metro Card,Grants 50% discount to all shops when held.,Item,,255,0,0,0,0,1,12000,No,NoRank,0,https://i.ibb.co/qFWSBgN/row-15-column-12.png
NinissGrace,Ninis's Grace,Grants +10 Def/Res to an ally.,Item,,30,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/PQdgD8b/row-15-column-7.png
HelasWrath,Hela's Wrath,Grants +10 Atk to an ally.,Item,,30,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/C8DLFPB/row-15-column-8.png
ThorsIre,Thor's Ire,Grants +10 Crit to an ally.,Item,,30,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/X26zMSZ/row-15-column-9.png
LokisMischief,Loki's Mischief,Grants +10 Avoid to an ally.,Item,,30,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/fx4j54j/row-15-column-10.png
DwemerGyro,Dwemer Gyro, +15% Str/Def growths when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
ZealMachine,Zeal Machine, +30% Mag growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
SheikahCore,Sheikah Core, +30% Luck growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
AgarthanUI,Agarthan UI, +15% Str/Def growths when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
SubEnergy,Sub-Energy, +30% Str growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
ElVibratoKey,El Vibrato Key, +30% Skl growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
DNAExtractor,DNA Extractor, +30% HP growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
AtlanteanGem,Atlantean Gem, +30% Res growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
40msGauge,40m/s Gauge, +30% Spd growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
ArcReactor,Arc Reactor, +30% Def growth when held.,Item,,255,0,0,0,0,1,0,No,NoRank,0,https://i.ibb.co/r5VwDHt/row-14-column-12.png
RealityStone,Reality Stone," +5 Mag/1 Res when held, can be used to deal 30 mt magic damage. [Chaos Magic]",Item,,1,30,90,0,0, 1-2,0,No,NoRank,0,https://i.ibb.co/crvMWtk/row-15-column-1.png
SoulStone,Soul Stone," +5 Res/1 Def when held, can be used as Rescue.",Item,,1,0,0,0,0,Mag/2,0,No,NoRank,0,https://i.ibb.co/jfzmTd5/row-15-column-2.png
MindStone,Mind Stone," +5 Def/1 Str when held, can be used as Berserk.",Item,,1,0,0,0,0,Mag/2,0,No,NoRank,0,https://i.ibb.co/Rv6jDfD/row-15-column-3.png
TimeStone,Time Stone," +5 Spd/1 Mag when held, can be used as Hammerne.",Item,,1,0,0,0,0, 1-2,0,No,NoRank,0,https://i.ibb.co/mhDDGTv/row-15-column-4.png
SpaceStone,Space Stone," +5 Skl/1 Spd when held, can be used as Warp.",Item,,1,0,0,0,0, 1-2,0,No,NoRank,0,https://i.ibb.co/8YLyjvh/row-15-column-5.png
PowerStone,Power Stone," +5 Str/1 Skl when held, can be used to deal 30 mt physical damage. [Daedric Whim]",Item,,1,30,90,0,0, 1-2,0,No,NoRank,0,https://i.ibb.co/gd9RCNh/row-15-column-6.png
